Date,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Day Perc Change,pc_Open_Close,pc_High_Low,5_day_mean,5_day_std,Action
2017-05-31,DHFL,N6,2017-05-31,1030.12,1025.0,1029.0,1016.15,1016.15,1016.15,1024.55,400,409821.5,6,400,100.0,-3.22,-0.008634146341463436,0.012645770801554912,16.351999999999983,74.17601681136564,1
2017-05-31,DHFL,NC,2017-05-31,1078.23,1072.05,1079.95,1072.0,1079.7,1079.72,1078.3,688,741867.16,13,660,95.93,6.26,0.007154517046779603,0.007416044776119446,17.433999999999983,73.93241630029414,-1
2017-05-31,DHFL,NP,2017-05-31,1065.0,1065.2,1070.0,1065.2,1067.55,1067.51,1067.29,778,830349.37,17,698,89.72,-1.13,0.002168606834397245,0.004506196019526807,29.383999999999986,61.970831283757995,-1
2017-06-01,DHFL,EQ,2017-06-01,416.65,417.7,419.8,414.0,416.5,416.9,416.54,1364330,568303436.6,40287,516303,37.84,-60.95,-0.0019152501795547316,0.01400966183574882,-10.808000000000012,28.31373818484583,1
2017-06-01,DHFL,N4,2017-06-01,1000.01,1001.0,1012.8,1001.0,1011.2,1011.2,1009.9,141,142395.2,5,120,85.11,142.55,0.010189810189810236,0.011788211788211742,16.70199999999999,75.31841388398988,1
2017-06-01,DHFL,N8,2017-06-01,1060.0,1061.0,1065.0,1061.0,1063.0,1063.76,1063.1,771,819651.6,25,771,100.0,5.2,0.0026013195098963156,0.003770028275212064,18.38599999999999,74.85433274032972,1
2017-06-01,DHFL,NC,2017-06-01,1079.72,1078.0,1078.0,1077.55,1077.55,1077.55,1077.85,60,64671.0,2,60,100.0,1.01,-0.00041743970315403107,0.0004176140318315118,17.617999999999988,75.01928731999524,-1
2017-06-01,DHFL,NL,2017-06-01,1056.0,1050.1,1054.0,1050.0,1052.0,1052.0,1050.83,380,399317.0,9,300,78.95,-2.37,0.0018093514903343407,0.0038095238095238095,29.333999999999993,63.34792837970314,1
2017-06-01,DHFL,NP,2017-06-01,1067.51,1071.49,1071.49,1066.0,1066.0,1066.2,1066.52,422,450070.18,17,421,99.76,1.35,-0.004937050275784154,0.005150093808630403,1.0939999999999883,2.720005514699658,-1
2017-06-02,DHFL,EQ,2017-06-02,416.9,418.5,420.5,410.25,413.5,414.25,415.03,1208328,501494025.75,14783,477032,39.48,-61.15,-0.01015531660692951,0.024984765386959172,-12.176000000000013,27.416170046160637,1
2017-06-02,DHFL,N4,2017-06-02,1011.2,1012.0,1012.0,1012.0,1012.0,1012.0,1012.0,20,20240.0,1,20,100.0,144.3,0.0,0.0,16.627999999999993,76.13773716101626,1
2017-06-02,DHFL,N6,2017-06-02,1016.15,1004.26,1017.0,1004.26,1016.0,1016.0,1014.77,450,456647.5,7,450,100.0,0.4,0.011690199749068975,0.012685957819688138,16.505999999999993,76.16950131122034,1
2017-06-02,DHFL,N8,2017-06-02,1063.76,1065.0,1067.0,1062.12,1065.0,1065.0,1065.04,185,197032.2,11,185,100.0,4.82,0.0,0.004594584416073616,17.943999999999996,75.79098185140496,1
2017-06-02,DHFL,NC,2017-06-02,1077.55,1079.48,1080.0,1078.02,1078.02,1078.02,1079.39,1080,1165739.96,12,1080,100.0,0.16,-0.0013525030570274914,0.0018367006177993155,30.147999999999996,63.84066509678606,1
2017-06-02,DHFL,NH,2017-06-02,1175.0,1133.0,1140.0,1133.0,1140.0,1140.0,1136.5,20,22730.0,2,20,100.0,5.75,0.00617828773168579,0.00617828773168579,2.437999999999994,2.640306800354044,-1
2017-06-02,DHFL,NL,2017-06-02,1052.0,1052.1,1052.1,1052.0,1052.0,1052.0,1052.07,30,31562.0,2,30,100.0,-7.72,-9.504799923952957e-05,9.505703422044586e-05,0.8139999999999938,5.332202171710646,1
2017-06-02,DHFL,NP,2017-06-02,1066.2,1066.0,1070.0,1066.0,1069.25,1069.25,1068.99,905,967435.0,7,905,100.0,1.64,0.003048780487804878,0.00375234521575985,0.17799999999999372,4.907679696149261,-1
2017-06-05,DHFL,EQ,2017-06-05,414.25,415.0,431.95,414.0,431.55,430.75,426.07,2860841,1218918845.95,34776,876492,30.64,-59.71,0.03795180722891566,0.04335748792270529,-11.976000000000008,27.127188022351213,1
2017-06-05,DHFL,N2,2017-06-05,1003.0,1000.5,1010.0,996.06,1010.0,1010.0,1009.5,527,532007.56,8,525,99.62,134.47,0.009495252373813094,0.013995140854968632,14.885999999999992,71.82417858910742,-1
2017-06-05,DHFL,N5,2017-06-05,1050.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,281,283810.0,4,281,100.0,0.0,0.0,0.0,13.735999999999994,72.05269689609125,1
2017-06-05,DHFL,N6,2017-06-05,1016.0,1016.0,1028.0,1016.0,1016.15,1024.76,1019.8,513,523155.9,15,368,71.73,1.46,0.00862204724409448,0.011811023622047244,15.571999999999992,71.48400219629562,1
2017-06-05,DHFL,NC,2017-06-05,1078.02,1077.0,1079.25,1077.0,1078.75,1078.75,1078.23,3264,3519338.24,60,3154,96.63,5.27,0.0016248839368616526,0.0020891364902506965,16.29799999999999,71.32539078056283,-1
2017-06-05,DHFL,NP,2017-06-05,1069.25,1069.0,1070.72,1066.11,1069.1,1069.53,1069.54,657,702687.93,21,654,99.54,-0.85,0.0004957904583722851,0.004324131656208203,28.069999999999993,59.525589875279664,-1
2017-06-06,DHFL,EQ,2017-06-06,430.75,433.0,434.85,422.15,423.8,424.6,428.24,2238759,958716790.2,28924,602812,26.93,-60.3,-0.019399538106235514,0.030084093331754224,-10.884000000000006,27.723679950540426,1
2017-06-06,DHFL,N2,2017-06-06,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,18,18180.0,1,18,100.0,137.87,0.0,0.0,16.689999999999994,72.9418833729977,-1
2017-06-06,DHFL,N4,2017-06-06,1012.0,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0,34,34034.0,1,34,100.0,-0.89,0.0,0.0,16.219999999999995,73.07200626779039,1
2017-06-06,DHFL,N6,2017-06-06,1024.76,1004.55,1043.98,1004.55,1029.5,1029.23,1011.06,27,27298.6,8,21,77.78,2.82,0.024568214623463307,0.0392514061022349,15.729999999999995,73.17193690206648,1
2017-06-06,DHFL,N8,2017-06-06,1065.0,1065.0,1065.0,1065.0,1065.0,1065.0,1065.0,10,10650.0,2,10,100.0,3.48,0.0,0.0,16.595999999999997,72.95194603298802,1
2017-06-06,DHFL,NC,2017-06-06,1078.75,1080.0,1080.0,1078.05,1078.1,1078.66,1078.58,2730,2944523.7,34,2730,100.0,0.25,-0.001240740740740665,0.0018088214832336586,1.3379999999999939,1.8046523210846799,-1
2017-06-06,DHFL,NN,2017-06-06,1060.8,1040.0,1040.0,1038.0,1038.0,1038.81,1038.81,40,41552.5,3,40,100.0,-3.69,-0.0011442307692308216,0.0019267822736030828,0.7779999999999939,2.81850492282634,1
